年別,百萬車公里_MVK,發生_件,肇事率_件,死亡_人,死亡率_人,受傷_人,受傷率_人
81年,"12,236.30",256,0.0209,223,0.0182,343,0.028
82年,"12,685.00",224,0.0177,187,0.0147,322,0.0254
83年,"13,730.90",278,0.0202,184,0.0134,365,0.0266
84年,"14,450.00",261,0.0181,192,0.0133,338,0.0234
85年,"14,829.90",275,0.0185,183,0.0123,379,0.0256
86年,"15,343.80",226,0.0147,189,0.0123,302,0.0197
87年,"15,703.40",237,0.0151,160,0.0102,369,0.0235
88年,"16,371.70",170,0.0104,126,0.0077,211,0.0129
89年,"19,973.40",107,0.0054,128,0.0064,94,0.0047
90年,"21,571.70",90,0.0042,112,0.0052,84,0.0039
91年,"22,670.80",58,0.0026,71,0.0031,68,0.003
92年,"23,872.70",89,0.0037,107,0.0045,80,0.0034
93年,"25,678.60",107,0.0042,124,0.0048,133,0.0052
94年,"26,050.90",117,0.0045,129,0.005,154,0.0059
95年,"26,235.30",111,0.0042,135,0.0051,114,0.0043
96年,"25,950.00",101,0.0039,112,0.0043,86,0.0033
97年,"24,649.90",88,0.0036,98,0.004,104,0.0042
98年,"26,488.00",64,0.0024,82,0.0031,102,0.0039
99年,"27,422.50",67,0.0024,74,0.0027,75,0.0027
100年,"28,526.20",62,0.0022,72,0.0025,47,0.0016
101年,"28,745.40",57,0.002,67,0.0023,102,0.0035
102年,"29,468.30",65,0.0022,70,0.0024,70,0.0024
103年,"30,733.00",59,0.0019,72,0.0023,83,0.0027
104年,"31,760.70",77,0.0024,89,0.0028,89,0.0028
105年,"33,231.20",67,0.002,70,0.0021,80,0.0024
106年,"33,806.10",70,0.0021,120,0.0035,95,0.0028
107年,"33,660.40",63,0.0019,73,0.0022,54,0.0016
108年,"33,653.10",73,0.0022,80,0.0024,128,0.0038
109年,"34,123.90",46,0.0013,52,0.0015,63,0.0018
